Italian,English
non,Not
di,from
che,that
è,is
e,And
la,there
il,the
un,a
a,to
per,for
in,in
una,a
mi,me
sono,I am
ho,I have
ma,but
l',L'
lo,the
ha,has
le,the
si,yes
ti,you
i,the
con,with
cosa,What
se,self
io,I
come,how
da,from
ci,there
no,no
questo,this
e',And'
hai,you have
sei,six
del,of the
tu,you
sì,Yes
me,myself
più,more
al,to the
mio,my
c',there
perché,Why
lei,she
solo,alone
era,was
gli,the
della,of the
così,Like this
mia,my
ne,neither
fare,Do
quando,when
fatto,done
essere,to be
so,I know
mai,never
o,or
alla,at the
tutti,all
molto,Very
dei,of the
anche,also
detto,said
quello,that
va,it goes
niente,nothing
lui,he
voglio,I want
abbiamo,we have
stato,state
posso,I can
oh,Oh
prima,Before
allora,so
siamo,we are
d',d '
uno,one
sua,her
tuo,your
hanno,they have
noi,we
sta,is
fa,does
due,two
vuoi,you want
ancora,still 
