Italian,English
non,Not
di,from
che,that
è,is
e,And
la,there
il,the
un,a
a,to
per,for
in,in
una,a
mi,me
sono,I am
ho,I have
ma,but
l',L'
lo,the
ha,has
le,the
si,yes
ti,you
i,the
con,with
cosa,What
se,self
io,I
come,how
da,from
ci,there
no,no
questo,this
qui,here
e',And'
hai,you have
sei,six
del,of the
bene,well
tu,you
sì,Yes
me,myself
più,more
al,to the
mio,my
c',there
perché,Why
lei,she
solo,alone
te,you
era,was
gli,the
tutto,everything
della,of the
così,Like this
mia,my
ne,neither
questa,this
fare,Do
quando,when
ora,Now
fatto,done
essere,to be
so,I know
mai,never
chi,who
o,or
alla,at the
tutti,all
molto,Very
dei,of the
anche,also
detto,said
quello,that
va,it goes
niente,nothing
grazie,thank you
lui,he
voglio,I want
abbiamo,we have
stato,state
nel,in the
suo,his
dove,where is it
posso,I can
oh,Oh
prima,Before
allora,so
siamo,we are
d',d '
uno,one
un',a
sua,her
tuo,your
hanno,they have
noi,we
sta,is
fa,does
due,two
vuoi,you want
ancora,still 
